school,file,percent_school_work,percent_peer_problems,percent_social_media,percent_family_reasons,percent_bully,percent_school_grades,percent_partner_problems,percent_covid,percent_housing,percent_other,percent_none
Carver High School,761 - Carver High School.xls,37.362637362637365,16.263736263736263,9.670329670329672,21.53846153846154,3.076923076923077,35.38461538461539,12.527472527472527,0.43956043956043955,3.7362637362637363,16.043956043956044,38.681318681318686
Carver High School Early College,761 - Carver High School Early College.xls,52.286282306163024,15.308151093439365,10.73558648111332,26.043737574552683,2.584493041749503,40.357852882703774,13.717693836978132,2.1868787276341948,4.572564612326044,14.910536779324055,32.007952286282304
Sylvan Hills Middle School,761 - Sylvan Hills Middle School.xls,45.5919395465995,24.43324937027708,12.090680100755668,25.440806045340054,8.060453400503778,37.531486146095716,13.85390428211587,3.7783375314861463,6.045340050377834,19.395465994962215,31.234256926952142
